date,sleep_hours,sleep_score,recovery_score,strain,steps,hrv,resting_hr,trained_today,next_day_recovery,workout_type
2024-05-01,7.5,73,78,7.1,12610,86,48,0,60,none
2024-05-02,6.4,82,60,14.3,7804,67,52,1,49,both
2024-05-03,6.0,75,49,6.1,9646,68,56,0,78,none
2024-05-04,7.6,86,78,7.5,18479,80,52,0,78,none
2024-05-05,7.6,85,78,17.6,8734,85,48,1,67,both
2024-05-06,6.8,79,67,11.1,10759,77,51,1,69,weightlifting
2024-05-07,7.1,79,69,10.1,5414,80,54,1,73,weightlifting
2024-05-08,7.2,78,73,4.3,7815,91,48,0,85,none
2024-05-09,7.4,87,85,11.1,19705,83,50,1,81,weightlifting
2024-05-10,7.2,84,81,17.2,14347,97,49,1,79,cardio
2024-05-11,7.0,82,79,12.3,17643,82,48,1,69,both
2024-05-12,7.0,87,69,16.0,19824,81,51,1,68,both
2024-05-13,7.5,83,68,13.8,11545,86,51,1,73,cardio
2024-05-14,7.6,87,73,12.4,7104,87,52,1,65,weightlifting
2024-05-15,6.4,74,65,4.6,9709,75,50,0,47,none
2024-05-16,5.2,61,47,11.6,9419,63,57,1,76,weightlifting
2024-05-17,7.3,86,76,9.9,12035,91,48,1,76,weightlifting
2024-05-18,7.0,84,76,14.7,14637,82,50,1,94,cardio
2024-05-19,8.4,95,94,13.4,7697,101,46,1,75,cardio
2024-05-20,6.5,80,75,10.2,7718,94,50,1,96,weightlifting
2024-05-21,8.3,97,96,7.3,8585,106,48,0,54,none
2024-05-22,5.5,66,54,12.9,11255,80,54,1,61,cardio
2024-05-23,5.9,77,61,12.0,14029,73,56,1,76,weightlifting
2024-05-24,7.5,86,76,16.1,11562,80,48,1,90,cardio
2024-05-25,8.0,99,90,7.8,9053,102,47,1,78,weightlifting
2024-05-26,7.4,93,78,5.8,6416,91,47,0,62,none
2024-05-27,5.8,74,62,9.7,9115,74,55,1,33,weightlifting
2024-05-28,6.8,86,33,5.7,3379,44,56,0,64,none
2024-05-29,6.7,75,64,4.5,5632,74,52,0,98,none
2024-05-30,9.1,100,98,5.2,8181,100,47,0,86,none
2024-05-31,7.0,85,86,9.8,14209,99,47,1,97,weightlifting
2024-06-01,8.0,92,97,10.4,11062,89,44,1,76,weightlifting
2024-06-02,7.0,77,76,9.7,8134,88,49,1,67,weightlifting
2024-06-03,6.3,80,67,4.7,8429,78,54,0,80,none
2024-06-04,7.3,86,80,7.1,12770,89,51,0,72,none
2024-06-05,6.8,80,72,13.1,8075,93,52,1,81,cardio
2024-06-06,7.4,80,81,9.7,11085,90,49,1,75,weightlifting
2024-06-07,6.9,83,75,11.7,8509,92,51,1,84,cardio
2024-06-08,7.5,89,84,10.1,14225,87,50,1,72,weightlifting
2024-06-09,6.9,85,72,12.9,17141,83,53,1,77,cardio
2024-06-10,6.9,80,77,15.6,12066,94,50,1,76,both
2024-06-11,7.3,87,76,11.5,16091,81,52,1,89,weightlifting
2024-06-12,7.5,91,89,12.3,8472,97,46,1,55,cardio
2024-06-13,5.7,71,55,10.1,14487,77,55,1,73,weightlifting
2024-06-14,6.9,77,73,15.3,10673,80,52,1,92,both
2024-06-15,8.1,90,92,10.7,12721,98,47,1,72,weightlifting
2024-06-16,7.3,80,72,16.0,21333,76,51,1,66,cardio
2024-06-17,7.0,79,66,16.2,8247,84,50,1,79,both
2024-06-18,6.8,86,79,6.3,14539,100,51,0,78,none
2024-06-19,7.2,83,78,13.4,18315,84,48,1,89,cardio
2024-06-20,7.9,93,89,14.5,11882,83,47,1,76,cardio
2024-06-21,6.8,83,76,12.0,5142,86,49,1,80,both
2024-06-22,7.0,88,80,5.7,6088,95,49,0,78,none
2024-06-23,7.0,87,78,5.1,16781,86,51,0,95,none
2024-06-24,8.5,92,95,13.3,18359,108,45,1,89,cardio
2024-06-25,7.7,92,89,14.8,7147,92,50,1,29,both
2024-06-26,6.9,79,29,10.4,5280,40,59,1,83,weightlifting
2024-06-27,7.2,93,83,3.7,8642,97,49,0,70,none
2024-06-28,6.2,77,70,11.4,7406,73,52,1,91,weightlifting
2024-06-29,7.9,91,91,6.9,16128,96,47,0,86,none
2024-06-30,8.2,92,86,15.2,4093,91,51,1,82,cardio
2024-07-01,7.1,82,82,5.1,9024,87,50,0,42,none
2024-07-02,8.5,98,42,9.9,8533,48,57,1,77,weightlifting
2024-07-03,6.8,79,77,3.8,7016,93,53,0,76,none
2024-07-04,6.8,80,76,7.6,9874,82,52,0,82,none
2024-07-05,7.2,88,82,9.8,18032,98,51,1,70,weightlifting
2024-07-06,6.6,81,70,13.9,16455,73,54,1,69,cardio
2024-07-07,6.9,80,69,13.3,11217,82,50,1,76,cardio
2024-07-08,6.9,84,76,12.5,9156,81,49,1,72,weightlifting
2024-07-09,6.8,79,72,9.8,14871,92,51,1,50,weightlifting
2024-07-10,6.0,69,50,13.2,9810,65,52,1,80,cardio
2024-07-11,7.9,93,80,5.5,10652,103,48,0,87,none
2024-07-12,7.6,89,87,11.8,14435,90,49,1,83,weightlifting
2024-07-13,7.8,91,83,13.5,6415,93,47,1,94,cardio
2024-07-14,8.3,100,94,6.5,8956,92,47,0,71,none
2024-07-15,6.5,79,71,11.8,8567,77,52,1,83,cardio
2024-07-16,7.3,90,83,11.4,15170,90,50,1,51,weightlifting
2024-07-17,5.2,58,51,14.3,9092,57,55,1,23,cardio
2024-07-18,5.3,60,23,8.9,5453,30,67,1,68,weightlifting
2024-07-19,6.3,88,68,2.8,12684,80,51,0,80,none
2024-07-20,8.0,91,80,10.7,13592,98,52,1,85,weightlifting
2024-07-21,8.6,96,85,12.2,19795,91,48,1,82,cardio
2024-07-22,7.8,94,82,17.3,10662,83,46,1,85,both
2024-07-23,7.2,85,85,10.3,10728,88,48,1,25,weightlifting
2024-07-24,5.6,63,25,12.0,5994,32,65,1,83,weightlifting
2024-07-25,6.8,87,83,3.0,11568,98,47,0,67,none
2024-07-26,6.6,72,67,9.3,6216,79,52,1,63,weightlifting
2024-07-27,6.7,76,63,5.7,14085,75,52,0,59,none
2024-07-28,6.8,74,59,8.3,14387,80,53,1,59,weightlifting
2024-07-29,6.8,77,59,10.3,5133,76,51,1,50,weightlifting
2024-07-30,6.0,73,50,5.9,11841,69,50,0,75,none
2024-07-31,7.0,85,75,11.9,2971,95,51,1,54,weightlifting
2024-08-01,6.0,69,54,6.9,16958,68,57,0,73,none
2024-08-02,7.5,83,73,14.4,8117,82,51,1,73,both
2024-08-03,7.9,97,73,7.5,10934,86,49,0,84,none
2024-08-04,7.7,89,84,12.1,8145,80,49,1,89,weightlifting
2024-08-05,7.2,85,89,9.3,9448,99,49,1,68,weightlifting
2024-08-06,6.5,85,68,7.3,13185,79,54,1,69,weightlifting
2024-08-07,7.0,80,69,15.0,10887,92,54,1,86,cardio
2024-08-08,7.6,91,86,11.1,14393,97,48,1,86,weightlifting
2024-08-09,7.2,88,86,12.6,4547,95,50,1,87,cardio
2024-08-10,7.4,78,87,4.8,17581,87,48,0,50,none
2024-08-11,5.9,75,50,12.7,9387,70,55,1,77,cardio
2024-08-12,7.9,85,77,5.2,8608,89,51,0,74,none
2024-08-13,7.0,77,74,11.3,6894,80,50,1,74,weightlifting
2024-08-14,7.0,82,74,6.4,16023,81,53,0,60,none
2024-08-15,6.0,76,60,14.4,7732,71,54,1,84,both
2024-08-16,8.4,98,84,5.2,15834,88,50,0,76,none
2024-08-17,7.5,89,76,13.3,16021,87,50,1,79,cardio
2024-08-18,7.5,88,79,14.9,10653,93,53,1,76,cardio
2024-08-19,7.1,78,76,12.7,11731,88,47,1,70,weightlifting
2024-08-20,6.4,82,70,11.3,5437,80,53,1,64,cardio
2024-08-21,6.0,73,64,5.8,7899,66,52,0,76,none
2024-08-22,7.3,84,76,5.3,10184,86,50,0,63,none
2024-08-23,5.7,75,63,10.3,11488,77,54,1,76,weightlifting
2024-08-24,7.1,87,76,10.5,11319,87,51,1,77,weightlifting
2024-08-25,7.7,87,77,6.4,18679,88,47,0,83,none
2024-08-26,7.2,90,83,12.0,8182,95,48,1,61,cardio
2024-08-27,6.4,85,61,7.0,11348,74,51,0,78,none
2024-08-28,7.7,97,78,12.5,8251,75,51,1,64,cardio
2024-08-29,6.7,75,64,6.3,16244,81,52,0,80,none
2024-08-30,7.1,88,80,16.9,15153,97,50,1,88,both
2024-08-31,7.8,91,88,14.6,15173,97,48,1,60,both
2024-09-01,6.5,69,60,13.5,19262,77,52,1,62,cardio
2024-09-02,6.7,78,62,14.1,11899,75,53,1,58,cardio
2024-09-03,6.1,75,58,11.1,5198,69,51,1,72,weightlifting
2024-09-04,6.9,76,72,5.8,9367,88,48,0,58,none
2024-09-05,6.6,77,58,5.9,9696,69,54,0,45,none
2024-09-06,5.6,62,45,9.1,13008,72,55,1,64,weightlifting
2024-09-07,7.1,84,64,15.8,5928,73,54,1,86,both
2024-09-08,7.7,91,86,6.8,15196,81,49,0,74,none
2024-09-09,7.3,83,74,17.6,14197,84,51,1,60,both
2024-09-10,6.0,76,60,10.3,10372,75,52,1,79,weightlifting
2024-09-11,7.3,88,79,9.1,5174,77,50,1,42,weightlifting
2024-09-12,5.9,65,42,9.3,8533,64,58,1,83,weightlifting
2024-09-13,7.5,86,83,10.7,7208,94,49,1,72,weightlifting
2024-09-14,6.4,81,72,4.5,18008,82,50,0,53,none
2024-09-15,6.6,71,53,15.8,10327,68,54,1,64,cardio
2024-09-16,7.0,79,64,10.2,6390,80,51,1,64,weightlifting
2024-09-17,6.0,74,64,9.4,7402,81,53,1,75,weightlifting
2024-09-18,7.4,90,75,5.6,19816,80,52,0,88,none
2024-09-19,8.2,98,88,16.9,14386,94,48,1,68,both
2024-09-20,6.4,77,68,10.9,16493,83,53,1,72,cardio
2024-09-21,7.3,87,72,13.3,11091,83,52,1,97,cardio
2024-09-22,8.3,97,97,7.0,13790,98,48,0,62,none
2024-09-23,6.2,75,62,12.4,6491,71,48,1,49,cardio
2024-09-24,5.5,67,49,7.0,15337,68,57,0,84,none
2024-09-25,7.5,87,84,12.2,12822,91,47,1,65,cardio
2024-09-26,6.5,77,65,13.5,19251,75,55,1,78,cardio
2024-09-27,7.6,91,78,16.1,3865,81,52,1,71,both
2024-09-28,7.3,82,71,7.0,8485,86,52,0,73,none
2024-09-29,6.6,85,73,10.1,16533,81,51,1,80,weightlifting
2024-09-30,7.2,86,80,14.7,14767,92,47,1,79,both
2024-10-01,7.4,88,79,14.2,20293,92,49,1,74,cardio
2024-10-02,7.1,85,74,15.3,10183,90,50,1,85,both
2024-10-03,6.6,87,85,10.2,9824,89,49,1,58,weightlifting
2024-10-04,5.8,67,58,11.6,12533,70,53,1,85,weightlifting
2024-10-05,8.0,87,85,12.1,13384,97,49,1,65,cardio
2024-10-06,6.6,78,65,10.5,16735,73,55,1,85,cardio
2024-10-07,7.9,95,85,14.7,14291,91,49,1,82,cardio
2024-10-08,7.7,87,82,14.6,23373,94,48,1,79,cardio
2024-10-09,7.6,81,79,17.0,4253,87,48,1,98,both
2024-10-10,8.1,97,98,7.0,8625,110,46,0,71,none
2024-10-11,6.3,75,71,10.7,9996,76,53,1,85,cardio
2024-10-12,7.6,88,85,10.6,4872,96,50,1,79,weightlifting
2024-10-13,7.1,82,79,9.7,21077,90,49,1,77,weightlifting
2024-10-14,7.2,76,77,14.5,9675,96,50,1,77,cardio
2024-10-15,6.5,77,77,9.7,18099,81,51,1,82,weightlifting
2024-10-16,7.3,83,82,16.8,6336,92,50,1,71,both
2024-10-17,7.0,86,71,3.8,5625,82,49,0,26,none
2024-10-18,5.4,72,26,6.3,6030,34,64,0,63,none
2024-10-19,6.9,81,63,3.1,10914,80,53,0,57,none
2024-10-20,6.6,76,57,9.8,8362,74,55,1,94,weightlifting
2024-10-21,8.4,97,94,11.2,15423,94,45,1,76,weightlifting
2024-10-22,7.4,82,76,13.5,14973,85,49,1,71,both
2024-10-23,7.1,87,71,15.0,6745,81,51,1,97,both
2024-10-24,8.2,100,97,9.7,14565,101,46,1,72,weightlifting
2024-10-25,7.2,82,72,13.1,15890,77,52,1,85,cardio
2024-10-26,7.7,91,85,15.6,11767,93,47,1,24,cardio
2024-10-27,6.3,74,24,12.9,6579,31,66,1,80,both
2024-10-28,6.7,83,80,2.9,10081,90,48,0,60,none
2024-10-29,5.6,73,60,6.2,9912,74,55,0,61,none
2024-10-30,6.4,79,61,10.3,10913,62,51,1,75,weightlifting
2024-10-31,7.4,84,75,9.9,9393,82,51,1,32,weightlifting
2024-11-01,4.8,49,32,10.7,7557,53,58,1,88,weightlifting
2024-11-02,8.7,98,88,6.1,15395,83,49,0,78,none
2024-11-03,7.4,89,78,13.0,11244,94,49,1,68,cardio
2024-11-04,7.2,87,68,8.8,6693,88,51,1,78,weightlifting
2024-11-05,6.8,77,78,4.7,13757,90,49,0,72,none
2024-11-06,6.3,82,72,12.8,15015,77,53,1,57,cardio
2024-11-07,6.3,77,57,15.2,6985,68,52,1,73,cardio
2024-11-08,6.9,78,73,4.9,14891,86,50,0,59,none
2024-11-09,6.0,79,59,12.3,6939,67,54,1,89,cardio
2024-11-10,8.5,100,89,6.6,9924,89,51,0,69,none
2024-11-11,7.2,84,69,10.6,10694,83,53,1,73,weightlifting
2024-11-12,6.9,86,73,11.0,7980,92,48,1,59,weightlifting
2024-11-13,5.9,70,59,10.0,8634,74,52,1,52,weightlifting
2024-11-14,6.1,70,52,11.2,7300,68,53,1,72,weightlifting
2024-11-15,7.3,81,72,5.1,14584,87,51,0,91,none
2024-11-16,8.7,100,91,14.4,15180,95,49,1,78,cardio
2024-11-17,7.6,92,78,12.1,15827,90,51,1,66,cardio
2024-11-18,7.0,70,66,14.3,7395,92,51,1,74,cardio
2024-11-19,7.3,80,74,10.3,14113,78,50,1,59,weightlifting
2024-11-20,6.1,73,59,13.2,7045,78,53,1,26,both
2024-11-21,6.4,84,26,7.7,6261,35,63,1,59,weightlifting
2024-11-22,5.9,73,59,3.2,5516,81,53,0,77,none
2024-11-23,7.1,86,77,4.9,9021,94,49,0,87,none
2024-11-24,8.1,100,87,8.7,14925,105,49,1,58,weightlifting
2024-11-25,7.0,77,58,13.0,17417,72,52,1,32,cardio
2024-11-26,6.0,74,32,15.1,8674,41,58,1,80,cardio
2024-11-27,7.1,87,80,4.0,12919,78,51,0,58,none
2024-11-28,6.2,73,58,9.9,15656,73,55,1,63,weightlifting
2024-11-29,6.7,73,63,12.5,8703,77,51,1,84,cardio
2024-11-30,7.8,91,84,5.3,17415,94,48,0,69,none
2024-12-01,6.7,79,69,14.4,10367,84,53,1,60,cardio
2024-12-02,6.0,78,60,5.7,8089,75,51,0,82,none
2024-12-03,7.8,96,82,9.9,6723,89,47,1,98,weightlifting
2024-12-04,8.8,100,98,5.5,8876,100,48,0,89,none
2024-12-05,7.2,86,89,10.5,4306,93,48,1,49,weightlifting
2024-12-06,5.5,66,49,4.5,10200,67,54,0,73,none
2024-12-07,7.5,88,73,11.5,14476,82,51,1,76,weightlifting
2024-12-08,7.6,83,76,14.0,15368,84,52,1,70,cardio
2024-12-09,6.7,79,70,14.3,14405,81,48,1,67,both
2024-12-10,6.6,71,67,11.6,10371,89,52,1,61,cardio
2024-12-11,5.7,78,61,7.4,12694,75,53,0,70,none
2024-12-12,7.2,77,70,12.2,15995,83,51,1,30,cardio
2024-12-13,6.3,76,30,12.5,6217,39,60,1,72,cardio
2024-12-14,7.0,84,72,3.4,13307,88,49,0,61,none
2024-12-15,6.7,82,61,13.8,11587,77,51,1,77,both
2024-12-16,7.7,87,77,11.2,8317,87,51,1,78,weightlifting
2024-12-17,6.8,81,78,11.1,8051,84,51,1,76,weightlifting
2024-12-18,7.1,81,76,6.0,13824,88,51,0,29,none
2024-12-19,6.1,79,29,14.6,9774,37,61,1,80,both
2024-12-20,8.1,91,80,3.6,12530,86,49,0,74,none
2024-12-21,6.7,79,74,12.2,9571,80,53,1,84,cardio
2024-12-22,7.5,85,84,6.2,15931,98,52,0,58,none
2024-12-23,6.4,74,58,17.7,7953,77,56,1,81,both
2024-12-24,7.4,91,81,9.6,3708,95,49,1,73,weightlifting
2024-12-25,7.3,82,73,6.9,5640,90,51,0,92,none
2024-12-26,7.8,94,92,5.5,14251,101,46,0,71,none
2024-12-27,6.8,84,71,12.3,15501,75,52,1,95,cardio
2024-12-28,8.9,96,95,14.5,20296,98,47,1,94,both
2024-12-29,8.8,100,94,18.3,16275,105,46,1,81,both
2024-12-30,7.1,81,81,13.3,10554,91,49,1,83,cardio
2024-12-31,7.4,93,83,9.1,5359,85,51,1,94,weightlifting
2025-01-01,8.4,100,94,5.2,17058,98,45,0,67,none
2025-01-02,7.4,80,67,17.4,19082,81,51,1,63,both
2025-01-03,5.9,73,63,14.5,13267,86,53,1,80,cardio
2025-01-04,7.5,83,80,12.7,9853,85,49,1,85,cardio
2025-01-05,7.4,92,85,8.9,22087,86,49,1,84,weightlifting
2025-01-06,7.3,80,84,18.8,8430,85,50,1,84,both
2025-01-07,7.4,83,84,12.4,13158,84,49,1,91,cardio
2025-01-08,7.8,95,91,10.8,6162,95,49,1,31,cardio
2025-01-09,6.5,74,31,5.7,5868,42,57,0,80,none
2025-01-10,6.9,87,80,4.3,4105,79,51,0,42,none
2025-01-11,9.1,100,42,5.7,8629,48,57,0,83,none
2025-01-12,7.2,84,83,3.5,11926,96,48,0,89,none
2025-01-13,7.2,86,89,13.3,8374,89,49,1,27,cardio
2025-01-14,6.1,75,27,7.6,6529,34,63,0,73,none
2025-01-15,6.5,80,73,3.3,9408,84,49,0,81,none
2025-01-16,7.5,84,81,9.3,5638,85,49,1,78,weightlifting
2025-01-17,6.9,78,78,4.1,16307,91,53,0,72,none
2025-01-18,7.1,89,72,13.2,9561,78,51,1,70,cardio
2025-01-19,6.4,82,70,8.7,18716,84,49,1,57,weightlifting
2025-01-20,6.2,80,57,15.2,4903,80,53,1,28,cardio
2025-01-21,6.9,78,28,4.8,8254,38,61,0,56,none
2025-01-22,6.1,75,56,3.8,15828,62,51,0,75,none
2025-01-23,7.3,91,75,16.9,11317,87,51,1,86,both
2025-01-24,8.3,100,86,9.6,12985,98,49,1,79,weightlifting
2025-01-25,7.8,95,79,12.6,18720,86,50,1,82,both
2025-01-26,8.1,92,82,16.8,19515,89,50,1,64,both
2025-01-27,6.3,72,64,17.1,7978,82,54,1,93,both
2025-01-28,8.1,93,93,5.9,10167,97,49,0,30,none
2025-01-29,5.5,68,30,11.7,7659,39,60,1,79,weightlifting
2025-01-30,7.2,87,79,3.6,18178,87,51,0,89,none
2025-01-31,7.7,94,89,13.9,16564,89,49,1,73,cardio
2025-02-01,7.3,85,73,15.3,8352,87,53,1,95,both
2025-02-02,8.5,100,95,9.8,11210,101,46,1,93,weightlifting
2025-02-03,7.8,87,93,11.7,16662,96,47,1,87,weightlifting
2025-02-04,7.6,87,87,14.9,6586,92,48,1,67,cardio
2025-02-05,7.1,74,67,5.0,8401,81,49,0,89,none
2025-02-06,8.0,87,89,10.4,12789,96,49,1,81,weightlifting
2025-02-07,7.7,97,81,12.4,6627,91,50,1,85,cardio
2025-02-08,7.3,88,85,8.5,20093,85,48,1,82,weightlifting
2025-02-09,8.1,87,82,15.8,17339,95,49,1,98,both
2025-02-10,8.4,95,98,15.0,8314,96,47,1,66,both
2025-02-11,6.6,75,66,5.6,13719,79,52,0,94,none
2025-02-12,8.0,93,94,13.7,9997,96,47,1,88,cardio
2025-02-13,7.9,94,88,13.2,11804,103,49,1,31,cardio
2025-02-14,5.4,67,31,10.1,10825,40,58,1,98,weightlifting
2025-02-15,8.2,95,98,3.5,14027,109,45,0,91,none
2025-02-16,7.7,91,91,13.6,18010,97,50,1,91,cardio
2025-02-17,7.6,93,91,16.2,18718,90,47,1,65,cardio
2025-02-18,7.0,85,65,16.3,7541,93,51,1,91,both
2025-02-19,8.3,84,91,5.9,12150,93,46,0,62,none
2025-02-20,6.4,74,62,10.0,15461,85,51,1,67,cardio
2025-02-21,6.5,81,67,12.2,9708,82,51,1,97,cardio
2025-02-22,8.1,100,97,6.2,8634,104,48,0,97,none
2025-02-23,8.0,96,97,10.6,15422,100,48,1,78,weightlifting
2025-02-24,7.5,83,78,13.2,11691,89,50,1,77,both
2025-02-25,7.3,80,77,11.0,7460,88,48,1,50,cardio
2025-02-26,5.4,58,50,9.7,13545,77,51,1,75,weightlifting
2025-02-27,7.3,85,75,11.6,18690,92,49,1,53,weightlifting
2025-02-28,5.8,69,53,14.3,15366,68,57,1,78,cardio
2025-03-01,7.7,91,78,17.2,13896,94,48,1,65,both
2025-03-02,6.7,72,65,11.4,7545,88,53,1,62,cardio
2025-03-03,6.5,74,62,6.3,4620,76,56,0,28,none
2025-03-04,5.2,60,28,6.2,7442,35,62,0,66,none
2025-03-05,6.9,82,66,3.2,12556,88,51,0,68,none
2025-03-06,7.0,79,68,11.6,16845,79,53,1,43,weightlifting
2025-03-07,5.7,73,43,16.7,7900,62,57,1,75,both
2025-03-08,8.1,95,75,9.6,21161,80,51,1,68,weightlifting
2025-03-09,7.3,84,68,15.9,8479,80,51,1,71,both
2025-03-10,6.4,81,71,10.6,12194,87,49,1,85,weightlifting
2025-03-11,7.4,90,85,10.3,8617,90,48,1,90,cardio
2025-03-12,8.2,99,90,12.6,8459,90,49,1,74,weightlifting
2025-03-13,7.1,84,74,12.1,8225,85,52,1,80,weightlifting
2025-03-14,6.8,80,80,9.8,6184,87,48,1,98,weightlifting
2025-03-15,8.9,100,98,5.6,16896,104,47,0,73,none
2025-03-16,6.8,78,73,10.1,10670,80,49,1,69,cardio
2025-03-17,7.0,81,69,11.4,8457,81,54,1,79,weightlifting
2025-03-18,7.2,84,79,10.9,15847,86,49,1,87,weightlifting
2025-03-19,7.7,89,87,14.4,5422,99,49,1,67,cardio
2025-03-20,6.1,80,67,7.5,15812,81,51,0,85,none
2025-03-21,7.2,91,85,15.9,13655,90,53,1,70,both
2025-03-22,6.8,81,70,11.6,15695,81,53,1,77,cardio
2025-03-23,7.1,86,77,11.7,7157,89,52,1,57,cardio
2025-03-24,6.2,77,57,6.0,7803,78,50,0,95,none
2025-03-25,8.1,99,95,6.0,15743,105,43,0,55,none
2025-03-26,6.2,81,55,13.7,12124,70,53,1,85,cardio
2025-03-27,7.3,89,85,10.5,11350,88,50,1,75,weightlifting
